uf20-0258 18775 0 1 -2 3 -4 5 -6 -7 -8 9 10 -11 -12 13 -14 15 -16 17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28543.7883359846
uf20-079 12996 0 1 -2 3 4 -5 -6 -7 8 -9 10 11 12 13 -14 15 -16 17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28853.9999679779
uf20-0404 12661 0 -1 -2 3 4 -5 6 -7 8 -9 10 -11 12 -13 14 -15 -16 -17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 30586.1991379934
uf20-0210 8289 0 1 -2 -3 -4 5 -6 -7 8 -9 -10 -11 -12 13 14 -15 -16 -17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27988.9858140086
uf20-0580 59729 0 1 -2 3 4 -5 -6 7 8 9 -10 -11 12 13 14 15 -16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 30468.5024739883
uf20-0455 29953 0 -1 -2 3 4 5 -6 -7 8 9 -10 -11 12 13 -14 15 -16 17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27924.6898199781
uf20-028 18877 0 1 -2 -3 -4 5 6 7 8 -9 10 11 -12 -13 14 15 16 17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29839.430759981
uf20-0241 19604 0 -1 -2 3 4 5 -6 -7 -8 -9 -10 11 12 13 14 15 -16 -17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28591.648769012
uf20-0394 21475 0 -1 -2 -3 4 5 -6 -7 8 -9 10 11 -12 13 14 15 -16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 30345.2722340007
uf20-0367 17317 0 1 2 3 -4 -5 -6 -7 -8 -9 -10 -11 -12 13 14 15 16 -17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29694.5854039805
uf20-0573 66925 0 1 -2 3 -4 -5 6 -7 8 -9 10 11 -12 -13 -14 -15 16 -17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29630.3594560013
uf20-0336 11700 0 1 -2 -3 -4 -5 -6 7 -8 9 -10 -11 12 -13 -14 15 -16 17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29067.2024240193
uf20-0522 59337 0 -1 -2 3 4 5 6 -7 8 9 -10 -11 -12 13 14 -15 -16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27567.281650001
uf20-0929 11325 0 1 2 -3 -4 5 -6 7 -8 -9 10 -11 -12 13 -14 15 -16 -17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27225.9486459952
uf20-0619 62324 0 -1 -2 3 -4 5 6 -7 8 -9 10 11 -12 13 14 15 16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28536.3776580198
